Dominican Republic,DOM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.50521
Algeria,DZA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
East Asia & Pacific (excluding high income),EAP,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.79012
Early-demographic dividend,EAR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.51188
East Asia & Pacific,EAS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.87743
Europe & Central Asia (excluding high income),ECA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.44368
Europe & Central Asia,ECS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.33469
Ecuador,ECU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.76422
"Egypt, Arab Rep.",EGY,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Euro area,EMU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.0679
Eritrea,ERI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.82029
Spain,ESP,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.59094
Estonia,EST,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.31151
Ethiopia,ETH,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.20501
European Union,EUU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.21243
Fragile and conflict affected situations,FCS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.70517
Finland,FIN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,14.59819
Fiji,FJI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
France,FRA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.36577
Faroe Islands,FRO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
"Micronesia, Fed. Sts.",FSM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Global Partnership for Education,FTI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.76233
